"","SLA.13.comps"
"(Intercept)",116.482827178938
"Wave_350",-122.594216366423
"Wave_351",-133.043907770634
"Wave_352",-81.6621974644828
"Wave_353",-81.0705738993117
"Wave_354",-113.623745824944
"Wave_355",-125.151234240151
"Wave_356",-73.7368164722956
"Wave_357",-27.8465592812965
"Wave_358",-20.1014134280889
"Wave_359",-46.4816430645825
"Wave_360",-72.4570917358032
"Wave_361",-0.880370419922418
"Wave_362",47.3472917090302
"Wave_363",7.04570680470521
"Wave_364",-71.1397379962696
"Wave_365",-61.492628318362
"Wave_366",-0.287825069228707
"Wave_367",41.5404514822169
"Wave_368",35.0904417447247
"Wave_369",-2.10502867686171
"Wave_370",-18.3820024594575
"Wave_371",29.4141366908697
"Wave_372",32.5146661582498
"Wave_373",32.2271031788197
"Wave_374",55.2326539737857
"Wave_375",98.3132977737429
"Wave_376",69.62430520646
"Wave_377",43.3082599248097
"Wave_378",65.029570258054
"Wave_379",48.8054552877378
"Wave_380",67.0833378394748
"Wave_381",88.9590680029853
"Wave_382",73.9172893593801
"Wave_383",98.2414714634878
"Wave_384",103.109530015629
"Wave_385",82.7016309354786
"Wave_386",71.0108405497025
"Wave_387",63.147796838418
"Wave_388",59.4717014104104
"Wave_389",65.4606452485844
"Wave_390",94.1603354795329
"Wave_391",93.0812854165223
"Wave_392",70.3787863233665
"Wave_393",51.2958237938107
"Wave_394",61.4028877119931
"Wave_395",58.6322489084101
"Wave_396",53.5104073417153
"Wave_397",73.0337250222985
"Wave_398",53.8812828088573
"Wave_399",47.390579616425
"Wave_400",55.4815117094745
"Wave_401",16.2548990868458
"Wave_402",17.0269245480099
"Wave_403",38.3574259516817
"Wave_404",51.9878298482731
"Wave_405",66.9192708550442
"Wave_406",69.1422159934792
"Wave_407",57.0566006145923
"Wave_408",39.4099961855776
"Wave_409",47.9566888332702
"Wave_410",53.257382850811
"Wave_411",43.589712535817
"Wave_412",28.3211951640443
"Wave_413",14.6255828987892
"Wave_414",11.849457048418
"Wave_415",19.2366936777734
"Wave_416",16.2044904179401
"Wave_417",4.36508190072363
"Wave_418",-8.22244171152739
"Wave_419",-12.4815643583395
"Wave_420",-6.5988840800926
"Wave_421",-11.5495994659646
"Wave_422",-23.6590789580571
"Wave_423",-19.9091216394291
"Wave_424",-20.9255805558889
"Wave_425",-22.5787973840748
"Wave_426",-20.374969461359
"Wave_427",-16.2950387767452
"Wave_428",-14.3899915491299
"Wave_429",-18.967350220268
"Wave_430",-30.0723029860244
"Wave_431",-30.5557724767524
"Wave_432",-26.0205114157335
"Wave_433",-23.1086316944191
"Wave_434",-27.0216209500434
"Wave_435",-22.0852526763722
"Wave_436",-19.2568744318741
"Wave_437",-22.9918846356659
"Wave_438",-15.5761890269337
"Wave_439",-10.6829770273011
"Wave_440",-10.6750679539228
"Wave_441",-12.5730303884385
"Wave_442",-7.78847323738777
"Wave_443",-0.266590894643211
"Wave_444",4.35347457071123
"Wave_445",0.764923840908852
"Wave_446",4.44518739933606
"Wave_447",10.0666193357762
"Wave_448",11.8466360386233
"Wave_449",10.324537402047
"Wave_450",14.3934269319618
"Wave_451",22.0159166421163
"Wave_452",26.9666864152157
"Wave_453",26.3156600306716
"Wave_454",25.8849159491874
"Wave_455",28.7686106379179
"Wave_456",34.4115136290771
"Wave_457",35.8463882973233
"Wave_458",32.6714914053498
"Wave_459",28.6076297251243
"Wave_460",34.5054997996916
"Wave_461",36.7294436746166
"Wave_462",33.1996234126452
"Wave_463",28.0518796727606
"Wave_464",29.1693776525102
"Wave_465",33.6974869344098
"Wave_466",36.656514490884
"Wave_467",32.2229855067512
"Wave_468",29.3206048053565
"Wave_469",30.8333547730697
"Wave_470",35.5350083366634
"Wave_471",35.2756231285693
"Wave_472",34.647646631178
"Wave_473",35.8558358682249
"Wave_474",39.3478582785532
"Wave_475",42.3397733120483
"Wave_476",43.1250443038834
"Wave_477",41.1351532572702
"Wave_478",37.0159238216215
"Wave_479",36.4592494163316
"Wave_480",39.1410321630653
"Wave_481",42.2889574011371
"Wave_482",41.3951994976524
"Wave_483",39.1592671029775
"Wave_484",35.8573400276149
"Wave_485",30.9355236070723
"Wave_486",31.099958231864
"Wave_487",30.0275470791967
"Wave_488",25.2264421220687
"Wave_489",22.7257317647129
"Wave_490",21.7225003941146
"Wave_491",21.6750482053189
"Wave_492",21.3520338239316
"Wave_493",17.1409728009057
"Wave_494",12.7430460768867
"Wave_495",10.7122298550811
"Wave_496",11.9149408205475
"Wave_497",11.6347481362701
"Wave_498",8.35204726388562
"Wave_499",3.21522433948181
"Wave_500",1.45297821503585
