"","x"
"Wave_350",2.21157359031258
"Wave_351",2.20414155457341
"Wave_352",2.14523315473626
"Wave_353",2.11424922096585
"Wave_354",2.11528033082045
"Wave_355",2.11289066499375
"Wave_356",2.06980955194225
"Wave_357",2.0586991668485
"Wave_358",2.04913412629002
"Wave_359",2.03522935021436
"Wave_360",2.03582736334234
"Wave_361",2.00262034137355
"Wave_362",1.99976695980378
"Wave_363",1.99334732770068
"Wave_364",2.00394707094927
"Wave_365",1.98837477196525
"Wave_366",1.96381434738191
"Wave_367",1.95817444462757
"Wave_368",1.94584754221981
"Wave_369",1.93794960109265
"Wave_370",1.93746975177366
"Wave_371",1.93386641593809
"Wave_372",1.92727702974364
"Wave_373",1.91760973148791
"Wave_374",1.9139004277761
"Wave_375",1.92837799515359
"Wave_376",1.91146121548831
"Wave_377",1.89649428869344
"Wave_378",1.88915398379196
"Wave_379",1.88317018312062
"Wave_380",1.88843864682862
"Wave_381",1.89609587398971
"Wave_382",1.88499701318609
"Wave_383",1.88812097593877
"Wave_384",1.88925931587378
"Wave_385",1.8806449571111
"Wave_386",1.87053319422861
"Wave_387",1.86698850322609
"Wave_388",1.86648292759838
"Wave_389",1.86808130845113
"Wave_390",1.8812177722254
"Wave_391",1.88613863529924
"Wave_392",1.88180980669313
"Wave_393",1.87865212567147
"Wave_394",1.88746912405631
"Wave_395",1.89146656968734
"Wave_396",1.89300776574007
"Wave_397",1.90192198098321
"Wave_398",1.9031680698881
"Wave_399",1.90981974567687
"Wave_400",1.91793002808664
"Wave_401",1.91701941327924
"Wave_402",1.91551697418955
"Wave_403",1.90999233371285
"Wave_404",1.90304903732611
"Wave_405",1.90246603392595
"Wave_406",1.89560599283987
"Wave_407",1.88049084326003
"Wave_408",1.86358565862509
"Wave_409",1.84868663208121
"Wave_410",1.83290035015355
"Wave_411",1.81223078891459
"Wave_412",1.78612368443537
"Wave_413",1.75683948522533
"Wave_414",1.72610154257317
"Wave_415",1.69547063875447
"Wave_416",1.663301421302
"Wave_417",1.62817755723374
"Wave_418",1.59242780627766
"Wave_419",1.55681925375247
"Wave_420",1.52184517969793
"Wave_421",1.48935720061002
"Wave_422",1.4585191695081
"Wave_423",1.42511246884323
"Wave_424",1.39685877168707
"Wave_425",1.3706598742847
"Wave_426",1.34454451112885
"Wave_427",1.32083066364409
"Wave_428",1.29914904169418
"Wave_429",1.27952585251779
"Wave_430",1.26269786128125
"Wave_431",1.24637779905259
"Wave_432",1.23188566505462
"Wave_433",1.22010938533729
"Wave_434",1.21036432957184
"Wave_435",1.20298250728602
"Wave_436",1.19652315551135
"Wave_437",1.19013598324213
"Wave_438",1.18806468473935
"Wave_439",1.18682150018329
"Wave_440",1.18476532227285
"Wave_441",1.18286982787752
"Wave_442",1.18354853545009
"Wave_443",1.18664011341834
"Wave_444",1.1891477051351
"Wave_445",1.18639232730355
"Wave_446",1.18815956527703
"Wave_447",1.19151521498177
"Wave_448",1.19259218302919
"Wave_449",1.19203795146227
"Wave_450",1.19434634591868
"Wave_451",1.19912025004015
"Wave_452",1.20288840262132
"Wave_453",1.20208445938857
"Wave_454",1.20182387375083
"Wave_455",1.20453244791361
"Wave_456",1.20939715678511
"Wave_457",1.21082953026237
"Wave_458",1.20855084557769
"Wave_459",1.20597899066193
"Wave_460",1.2109431618963
"Wave_461",1.21351915093831
"Wave_462",1.21191046677048
"Wave_463",1.20948168568485
"Wave_464",1.21120279578345
"Wave_465",1.21617823690138
"Wave_466",1.22053405013409
"Wave_467",1.21768195838269
"Wave_468",1.21677736041333
"Wave_469",1.21928970567177
"Wave_470",1.22386722890898
