"Wavelength","2103 3","2104 3","2106 3","2108 3","2111 3","2113 3","2116 3","2117 3","2118 3","2120 3","2121 3","2123 3","2125 3","2126 3","2127 3","2133 3","2134 3","2135 3","2141 3","2145 3","2151 3","2152 3","2155 3","2157 3","2159 3","2160 3","2161 3","2162 3","2166 3","2167 3","2168 3","2170 3","2174 3","2178 3","2180 3","2181 3","2183 3","2184 3","2187 3","2188 3","2191 3","2192 3","2194 3","2195 3","2196 3","2197 3","2203 3","2208 3","2209 3","2210 3","2213 3","2214 3","2215 3","2216 3","2221 3","2222 3","2224 3","2226 3","2227 3","2230 3","2231 3","2233 3","2235 3","2236 3","2239 3","2241 3","2242 3","2246 3","2252 3","2254 3","2255 3","2257 3","2262 3","2263 3","2265 3","2271 3","2275 3","2276 3","2280 3","2285 3","2297 3","2298 3","2301 3","2307 3","2314 3","2318 3"
"350","0.05160247","0.05027683","0.05123004","0.04860911","0.04974228","0.03829747","0.04520676","0.04426065","0.04904807","0.05261407","0.05621655","0.04468564","0.05086045","0.04179989","0.05254516","0.05202064","0.04924199","0.04695419","0.04541367","0.04601572","0.05918039","0.04551256","0.04995158","0.04384601","0.04503261","0.04398202","0.05024250","0.04699795","0.05349084","0.04424941","0.05075080","0.05272904","0.06556890","0.05165696","0.04452701","0.05256192","0.04462639","0.05779739","0.05509409","0.04428480","0.05481377","0.04910326","0.04910397","0.05293483","0.04782752","0.05302539","0.05337874","0.04002129","0.05338859","0.04782737","0.05258740","0.04359616","0.04524905","0.03824369","0.04029565","0.05601021","0.03916268","0.04483747","0.04842581","0.04258808","0.04753222","0.04520410","0.04738741","0.04310812","0.04950229","0.05255719","0.03603009","0.04807067","0.05428081","0.04439918","0.04312522","0.04729899","0.04693447","0.05014375","0.05219357","0.04753647","0.03270712","0.04787480","0.04180104","0.02967733","0.04439726","0.04132055","0.04620365","0.03684589","0.04149767","0.03824304"
"351","0.04874701","0.04850028","0.04750955","0.04577102","0.04632928","0.03528599","0.04204843","0.04187202","0.04491222","0.05006784","0.05335594","0.04215082","0.04785928","0.03986020","0.04850246","0.04927710","0.04671718","0.04420307","0.04298903","0.04230906","0.05784164","0.04281874","0.04760364","0.04086372","0.04287232","0.04085746","0.04672404","0.04530699","0.05010525","0.04206525","0.04868064","0.04905099","0.06157546","0.04786431","0.04236500","0.04978919","0.04127455","0.05448523","0.05278518","0.04230229","0.05211777","0.04511520","0.04723013","0.04954754","0.04487450","0.05034320","0.05102575","0.03703605","0.05065688","0.04569085","0.04986046","0.04031696","0.04186800","0.03641434","0.03774467","0.05364613","0.03674074","0.04217967","0.04676525","0.03922085","0.04407559","0.04187862","0.04385890","0.03885750","0.04619471","0.04938741","0.03307421","0.04416837","0.05148924","0.04289057","0.04124170","0.04402337","0.04406160","0.04672895","0.04954703","0.04423721","0.02971801","0.04535153","0.03867206","0.02724262","0.04120958","0.03759318","0.04338276","0.03494596","0.03763369","0.03606126"
"352","0.05045692","0.04724398","0.04709557","0.04470030","0.04471329","0.03439273","0.04059459","0.04134332","0.04383027","0.05042737","0.05531860","0.04059575","0.04589198","0.03986118","0.04791233","0.04991988","0.04683876","0.04468481","0.04236993","0.04098764","0.05718354","0.04128149","0.04854702","0.03946487","0.04315033","0.03915553","0.04584925","0.04536545","0.05098855","0.04038466","0.04855008","0.04952962","0.05895746","0.04861919","0.04234306","0.04984817","0.04036838","0.05324821","0.05100328","0.04097278","0.05048148","0.04354255","0.04460425","0.04908520","0.04354694","0.04910070","0.05051244","0.03529763","0.05011194","0.04656195","0.04898963","0.03939343","0.04086367","0.03607205","0.03631807","0.05351470","0.03684394","0.04130733","0.04664209","0.03791828","0.04147604","0.04206147","0.04210376","0.03904423","0.04694903","0.04827470","0.03230432","0.04250130","0.05014762","0.04179965","0.03939896","0.04354994","0.04220754","0.04756006","0.04849091","0.04233645","0.02973339","0.04541818","0.03832400","0.02701413","0.04018428","0.03715538","0.04377102","0.03506830","0.03664523","0.03563169"
"353","0.05036267","0.04761073","0.04576301","0.04379805","0.04556798","0.03619560","0.04153268","0.04291832","0.04548212","0.04992318","0.05539759","0.04268907","0.04760365","0.03967611","0.04914557","0.04942177","0.04592977","0.04540600","0.04375448","0.04208109","0.05814536","0.04302322","0.04792926","0.04081015","0.04370009","0.04144150","0.04735112","0.04597518","0.04985502","0.04023909","0.04760594","0.05067311","0.06008689","0.04919607","0.04246840","0.05006371","0.04155804","0.05348105","0.05223557","0.03983219","0.05103859","0.04498092","0.04563320","0.05030352","0.04528712","0.05017419","0.05076987","0.03771786","0.05053773","0.04630960","0.04948735","0.04164858","0.04269369","0.03558701","0.03769670","0.05237380","0.03657190","0.04238719","0.04615219","0.04063323","0.04342312","0.04393916","0.04370755","0.04038001","0.04685980","0.04840063","0.03351064","0.04443464","0.05227566","0.04176202","0.03838442","0.04480457","0.04408041","0.04835307","0.04926033","0.04268055","0.02976876","0.04586739","0.03982789","0.02716597","0.04183618","0.03911038","0.04374224","0.03468438","0.03810166","0.03416876"
"354","0.05057691","0.04862351","0.04638814","0.04528857","0.04661691","0.03705407","0.04385710","0.04326267","0.04661264","0.05082132","0.05558898","0.04355613","0.04790919","0.04076201","0.04958563","0.05042844","0.04755043","0.04569995","0.04438344","0.04405023","0.05886326","0.04499206","0.04813992","0.04223323","0.04419151","0.04225566","0.04839095","0.04708717","0.05113726","0.04181110","0.04777895","0.05124273","0.06145976","0.04916849","0.04319545","0.05107009","0.04226304","0.05464743","0.05337833","0.04124813","0.05198324","0.04671228","0.04664387","0.05022621","0.04611112","0.05131800","0.05107875","0.03898181","0.05086564","0.04684829","0.05133654","0.04295916","0.04376029","0.03701208","0.03855084","0.05260451","0.03762414","0.04371875","0.04625421","0.04094728","0.04528359","0.04470057","0.04609633","0.04095867","0.04744952","0.04990829","0.03466876","0.04598157","0.05248320","0.04300451","0.04023879","0.04619612","0.04529280","0.04894885","0.05035269","0.04365672","0.03136521","0.04685912","0.04054288","0.02838495","0.04269622","0.04054242","0.04497629","0.03635319","0.04014304","0.03478124"
"355","0.05076157","0.04881773","0.04756692","0.04694388","0.04667361","0.03686203","0.04470947","0.04265733","0.04656684","0.05207387","0.05530970","0.04293365","0.04719582","0.04212012","0.04911103","0.05121110","0.04883548","0.04566440","0.04391184","0.04461552","0.05916705","0.04566628","0.04872894","0.04254653","0.04377814","0.04180865","0.04805739","0.04713101","0.05263993","0.04294588","0.04837082","0.05112219","0.06111614","0.04911303","0.04359965","0.05167753","0.04197438","0.05523853","0.05321349","0.04226124","0.05230470","0.04737788","0.04668122","0.04992701","0.04561821","0.05156473","0.05124019","0.03882756","0.05073784","0.04758999","0.05208865","0.04262559","0.04339296","0.03816495","0.03859451","0.05350369","0.03851957","0.04422072","0.04645333","0.03959650","0.04535343","0.04451776","0.04696257","0.04086161","0.04764166","0.05073966","0.03494033","0.04591904","0.05143361","0.04378999","0.04200987","0.04675936","0.04544159","0.04897510","0.05081550","0.04436465","0.03259473","0.04759390","0.04042168","0.02928043","0.04237154","0.04049790","0.04578721","0.03762539","0.04068874","0.03647255"
"356","0.05001262","0.04741974","0.04703185","0.04599516","0.04543500","0.03649666","0.04213550","0.04241447","0.04577970","0.05181191","0.05373727","0.04220746","0.04729684","0.04216483","0.04850442","0.04954303","0.04628613","0.04550724","0.04295143","0.04249860","0.05923827","0.04457003","0.04838218","0.04143867","0.04204365","0.04188369","0.04655658","0.04505682","0.05114183","0.04162686","0.04803019","0.05052328","0.05868794","0.04939652","0.04265963","0.05055868","0.04108714","0.05407804","0.05177780","0.03973848","0.05150988","0.04653641","0.04591735","0.05101035","0.04471602","0.05061535","0.05105544","0.03854254","0.05009924","0.04723798","0.04984153","0.04146074","0.04227622","0.03657264","0.03835967","0.05341261","0.03748710","0.04347128","0.04582554","0.03920735","0.04367743","0.04438827","0.04515908","0.04075667","0.04618468","0.04919814","0.03424653","0.04454342","0.05131789","0.04255476","0.04049537","0.04614628","0.04529867","0.04829090","0.05020307","0.04413808","0.03132927","0.04721956","0.04022122","0.02842997","0.04157158","0.03922043","0.04430810","0.03568089","0.03876899","0.03697750"
"357","0.04870886","0.04752418","0.04589757","0.04475713","0.04423925","0.03445997","0.04080841","0.04174814","0.04437549","0.04986772","0.05292952","0.04164820","0.04666711","0.04078804","0.04777350","0.04802727","0.04422020","0.04426901","0.04164652","0.04157477","0.05764166","0.04253589","0.04651034","0.03937166","0.04097343","0.04094270","0.04498035","0.04424393","0.04995870","0.04024248","0.04697988","0.04842521","0.05758445","0.04711877","0.04092694","0.04838590","0.03993937","0.05273735","0.05116832","0.03884575","0.04958848","0.04486825","0.04448148","0.05010254","0.04342083","0.04831977","0.04912717","0.03697179","0.04856103","0.04528582","0.04882650","0.04041215","0.04149141","0.03555980","0.03625421","0.05155195","0.03675897","0.04256325","0.04380746","0.03775751","0.04236714","0.04334533","0.04347191","0.03987883","0.04504621","0.04869655","0.03344463","0.04342212","0.05029010","0.04162905","0.04004053","0.04510238","0.04344177","0.04763787","0.04895832","0.04165929","0.03014575","0.04596604","0.03936014","0.02756248","0.04004508","0.03817367","0.04336205","0.03436833","0.03805114","0.03541024"
"358","0.04713595","0.04590542","0.04401769","0.04317525","0.04226439","0.03259303","0.03981455","0.04082775","0.04317112","0.04812885","0.05189787","0.04067369","0.04527307","0.03898339","0.04599372","0.04695020","0.04279076","0.04205617","0.04039811","0.04030032","0.05540535","0.04119287","0.04493284","0.03753093","0.03963646","0.03993040","0.04421191","0.04362622","0.04830164","0.03898698","0.04526488","0.04711867","0.05633956","0.04509690","0.03940742","0.04666151","0.03868909","0.05152138","0.04920969","0.03737613","0.04802879","0.04320734","0.04336130","0.04865926","0.04200084","0.04683565","0.04695539","0.03528803","0.04745566","0.04382542","0.04787783","0.03898236","0.04058584","0.03462903","0.03427540","0.04991732","0.03540620","0.04081746","0.04183833","0.03647809","0.04102698","0.04140276","0.04226917","0.03871928","0.04378879","0.04743902","0.03199410","0.04210687","0.04811139","0.04085822","0.03861382","0.04414481","0.04172865","0.04675941","0.04756302","0.03974289","0.02856481","0.04430692","0.03776206","0.02598750","0.03857644","0.03705838","0.04149048","0.03331909","0.03716206","0.03367202"
"359","0.04590810","0.04369892","0.04247544","0.04177865","0.04043325","0.03188184","0.03929320","0.04018186","0.04257868","0.04717911","0.05098541","0.03977409","0.04381216","0.03766774","0.04413491","0.04627789","0.04191704","0.04054988","0.03944067","0.03914575","0.05398057","0.04071150","0.04415811","0.03682603","0.03850088","0.03932616","0.04407247","0.04305030","0.04696608","0.03833565","0.04383497","0.04699933","0.05536460","0.04428301","0.03863290","0.04591244","0.03776348","0.05061034","0.04704101","0.03589339","0.04738913","0.04236788","0.04287315","0.04763847","0.04102391","0.04679329","0.04572811","0.03447177","0.04670652","0.04335635","0.04675264","0.03767732","0.03968809","0.03363782","0.03332466","0.04927209","0.03403658","0.03951420","0.04116040","0.03606781","0.03997851","0.03966137","0.04184926","0.03798073","0.04279183","0.04598127","0.03079271","0.04111918","0.04637027","0.04007434","0.03698945","0.04327910","0.04100254","0.04591521","0.04673003","0.03921546","0.02729783","0.04318767","0.03614477","0.02453898","0.03807941","0.03625932","0.03971476","0.03263906","0.03627236","0.03300765"
