"","Genotype","a_fit","b_fit","c_fit","d_fit","e_fit","f_fit","g_fit","h_fit","end_NPQ","max_amp","gradient","end_FvFm"
"1","B1K-01-20",3.58820402752149,0.00630783126421183,3.18133642589897,0.0154327431050196,0.335880597266195,0.269679853698894,0.0115127902244986,0.518015853735165,0.301010653132837,3.47520419124753,0.0311679429233455,0.787998882138603
"2","B1K-02-01",3.31211868527781,0.0105353378194846,2.90405571961041,0.0182974295807946,0.432251728003938,0.251684225281045,0.0125359007935084,0.521362827657958,0.318391119070634,3.39275083801005,0.0426933571148153,0.78195831985995
"3","B1K-02-02",3.28089531543149,0.00809389853557124,2.96234166604166,0.0202957100585651,0.394071545716052,0.260372885553519,0.0142761622807403,0.514033614405875,0.297296633717015,3.39258751493673,0.0386114891357406,0.78215646158508
"4","B1K-02-04",3.88941446525862,0.0041525569194277,3.11211987367059,0.0165912601059549,0.355860329755859,0.267238034922818,0.0128642071893421,0.51638259055461,0.31643618925619,3.4016202985155,0.024222638077274,0.784306603769298
"5","B1K-02-05",3.68705945123108,0.00967182019389073,3.22425874920471,0.0153877765314212,0.373280590272972,0.280628448716661,0.010947006780304,0.492255678431741,0.312035494832865,3.70069973205962,0.0424758309700976,0.769645664110872
"6","B1K-02-06",3.07539145692091,0.00730517015074469,2.68240992431617,0.017523339028185,0.389945312807064,0.240214315188769,0.0130073856153138,0.536969972962881,0.324775511554155,3.09027222133415,0.0321550622269109,0.780706230647561
"7","B1K-02-10",3.6312650336715,0.00862009001371839,3.25079634108056,0.0147903785399609,0.467808193350281,0.271885274405709,0.0108904117506852,0.490818027556534,0.387499435044507,3.7126637430102,0.0424260040879607,0.767481487470708
"8","B1K-02-12",3.8169863869328,0.00856826820906214,3.30737828587305,0.0169055755341712,0.519270867577365,0.268135091487344,0.0119231868012536,0.492899120895722,0.40714703225322,3.85890956493393,0.0398219849065798,0.768285274971823
"9","B1K-02-13",3.89633202008732,0.00601654066984955,3.28287432751515,0.0144378067834517,0.420648506235599,0.274749983151105,0.0104104045423042,0.502101467659565,0.334065280060312,3.70091232183258,0.027902562250271,0.78397280300114
"10","B1K-02-14",4.04839365845994,0.00741828735153322,3.36610332602135,0.0149923449609616,0.568725045421442,0.263737738283183,0.0104657758435881,0.498935142812515,0.434501118588718,4.00283061727588,0.0397998965559812,0.769785491895718
"11","B1K-02-16",3.91535638481105,0.00594567406150986,3.40934998724451,0.019158901750011,0.351979878532808,0.289722126918854,0.01377309965195,0.476847053435707,0.267308060840516,3.78371408420308,0.0346441479586149,0.773513053107468
"12","B1K-02-18",3.38342231467197,0.0115127749946025,3.02261899264726,0.0137542268691655,0.440515895116026,0.254564820806178,0.00947727726208754,0.52524713559447,0.310059681029484,3.4587209071049,0.0402984618609871,0.788540885775589
"13","B1K-03-03",3.97907393041705,0.00715910873141591,3.42226126550075,0.0142591504257352,0.402449474652972,0.279297616570533,0.0104436554034313,0.505361736105607,0.300321776071969,3.87300374549929,0.0328480353924737,0.791917133102781
"14","B1K-03-04",3.9246748265996,0.00602078196667537,3.4016653808245,0.0170420434240968,0.449324936280125,0.274327259902882,0.0118704870454659,0.50481996274157,0.346384801604363,3.88763228323723,0.0407513227120334,0.784617379824493
"15","B1K-03-09",3.92293793353005,0.00890738749449869,3.40702615976712,0.0115701678517906,0.423783280226143,0.277802103651383,0.00844231643823365,0.50746731108903,0.331885380078956,3.90302523205906,0.0385274766470172,0.786480756999671
"16","B1K-03-10",4.12320788960565,0.00752766640527865,3.71767733745589,0.0125445638225031,0.402188831551594,0.301344017791069,0.00882582320071727,0.482004405860232,0.317141494754577,4.14716954578779,0.0425310822909915,0.782812655934496
"17","B1K-03-11",3.96037677384742,0.00610604412874329,3.56153753223996,0.0182620927564952,0.346925320902308,0.289934254857409,0.0125564145700021,0.499976336618143,0.253112030244668,3.89803461208462,0.0388851806859438,0.795786421458947
"18","B1K-03-14",3.88662453635647,0.00664501216476328,3.39248867500652,0.01655283490215,0.405123439768404,0.278862485941069,0.0120925510308285,0.502487260739999,0.338317545409015,3.81486303160064,0.0298111039322141,0.78643787674248
"19","B1K-03-16",4.41591351073776,0.00729386702153506,4.05139592785564,0.0124805702408224,0.429035201129264,0.309592007469941,0.00905646064583634,0.467318315345969,0.376551914951962,4.49123886083082,0.0500400464323583,0.776103751674415
"20","B1K-03-17",3.79711186530659,0.0119174083089249,3.51470656428288,0.0120082586270629,0.498030935273292,0.285661832202151,0.00870806227452567,0.471575725983346,0.462872502609794,3.97304559639595,0.0498484720534673,0.75616812183102
"21","B1K-04-03",3.36403333673131,0.00672757326749268,2.98611111929882,0.0228626496180714,0.352159923309444,0.25165687305547,0.0164008400839972,0.543512084855057,0.279492110560238,3.33539537857731,0.0354839214457579,0.799100512612929
"22","B1K-04-04",3.62531976979878,0.0055394614104157,3.09842141564338,0.021376443718351,0.389614189876214,0.259997692080354,0.0157034476863388,0.529454872344777,0.312893421525802,3.51426871785938,0.0324753819754878,0.789871005239838
"23","B1K-04-08",4.06026454807007,0.00674394827434826,3.24019759423698,0.01726753859995,0.484491623154725,0.262757147664804,0.0122945415400331,0.499718847118373,0.346528039876166,3.78491283715862,0.0310595155871711,0.773673179204052
"24","B1K-04-12",3.4087970438088,0.00638289357639303,2.86152085077443,0.0192410963902877,0.404783064335993,0.24698486333413,0.0144249007733271,0.524606819809471,0.346073551288221,3.28367531131211,0.0322742107415618,0.776430453458536
"25","B1K-04-19",3.07601242245232,0.00626308939134293,2.67672210204739,0.0178469569981634,0.352718969793565,0.243646245354148,0.0134233912877774,0.535226933086077,0.29516219366485,3.00996402127498,0.0304637307621603,0.780307635596767
"26","B1K-04-20",3.73211913468443,0.00498023063701329,2.99095401499838,0.0215586544501184,0.376755722901779,0.26232145887596,0.016029647803807,0.513497860117133,0.284194962237232,3.42233887786559,0.0287414600622717,0.779407392398402
"27","B1K-05-03",3.24493805273237,0.00555263379789389,2.79686501147582,0.0222826394766602,0.390360128703318,0.245478747520541,0.0160668590023993,0.537774343924003,0.306300769304853,3.16170797663478,0.0287028854070122,0.792208253788159
"28","B1K-05-07",3.56057554354134,0.00478474956068197,3.04765557011063,0.0258212935097007,0.303003095833334,0.274666554507275,0.017557019949447,0.488288018258338,0.233217247372088,3.2867880107924,0.0277240456247802,0.766526776087084
"29","B1K-05-08",3.35546328743314,0.0057539331719002,2.86861504707216,0.0207234228621147,0.399998245076149,0.248901703363213,0.015496711330935,0.531069970437116,0.326694352513247,3.21388980911352,0.0303917255080306,0.785479887486806
"30","B1K-05-10",3.64771814746701,0.0054482280809624,3.1177684984039,0.0228371400172447,0.414528194739546,0.261043984871245,0.0168112316661062,0.52190219373429,0.318197343618161,3.48453875101114,0.0300770928776357,0.791599402833697
"31","B1K-05-12",3.31466057438208,0.00495199684965176,2.69693026712098,0.0228256031388671,0.382459913213677,0.23809869090356,0.0173552306631884,0.547759973573606,0.301565728517637,3.02161830353816,0.022204807184742,0.79217259828113
"32","B1K-05-13",3.6417600404812,0.0059790161555601,3.14788038033436,0.0183419444770388,0.378171680854034,0.26536355883787,0.0132435690960259,0.523955230766373,0.280935480342183,3.49625672983192,0.028220975827348,0.795173023036046
"33","B1K-05-16",3.74943390304321,0.00423076520650046,2.97918983068362,0.0208460730143856,0.382585374026046,0.249559776336044,0.0156242638713795,0.537549890055986,0.307384307278827,3.34974232638607,0.0235699439468938,0.793461571675645
"34","B1K-05-17",3.88877366350532,0.00655446297526105,3.39061538345459,0.0220151648420051,0.420811141383594,0.274563093365329,0.0163691916748319,0.509000321468979,0.33230687008519,3.77948498700343,0.0359346372675571,0.789962964872505
"35","B1K-06-01",3.57922936317089,0.00769133152773919,3.29680390395962,0.0133160303344891,0.405829028064992,0.276054263992808,0.00985997814681825,0.497196510335505,0.376691555358176,3.69296274283892,0.0353422554254915,0.772868302389729
"36","B1K-06-06",3.69340967484967,0.00511458913194417,3.04354504036673,0.0202832252940962,0.437946649652532,0.254432876136214,0.0150897294077838,0.526243654537923,0.335731648406177,3.45885899434389,0.027997981761548,0.78675517950324
"37","B1K-06-07",4.34963646175438,0.00521293522072325,3.88836531270516,0.0113627705316652,0.357471180641699,0.312809492069141,0.00877753040475346,0.472480730498945,0.323680860734168,4.11063759953339,0.0320334161207462,0.786399147477191
"38","B1K-06-10",3.44278450697524,0.00561443988945641,3.02335376012237,0.0188102730517102,0.323923432489545,0.260410167782549,0.0140621684058565,0.531206065956113,0.265163050053665,3.3703384796245,0.0294688144260426,0.795905233051001
"39","B1K-06-14",3.61705623968486,0.00475078537121889,2.98652895412298,0.0180978251108835,0.398783840621546,0.255841727427801,0.0134147572543864,0.527704863890304,0.339662349450339,3.37816594136369,0.0278769739860499,0.78625664931904
"40","B1K-06-15",4.19643025958035,0.00512855914278196,3.52168175999839,0.0222921818088364,0.466683374924482,0.274690265352893,0.0162802088455899,0.512794150381844,0.38445068837428,3.9707980202419,0.0355146016402953,0.790629494236701
"41","B1K-06-19",3.95941378668135,0.00654650767024382,3.47662695899496,0.0201131748760567,0.441883056241538,0.276373096007372,0.0144370988109041,0.500866537273272,0.35248386879688,3.98383491344269,0.0324422585315305,0.786491250703217
"42","B1K-06-20",3.65242320543512,0.00692374119011714,3.2018878585816,0.0152919800004561,0.401166256088789,0.273403250830913,0.0116836257418242,0.501131518347373,0.353452391520637,3.52952592018383,0.0291512038673102,0.777679718488378
"43","B1K-07-02",3.91165525874146,0.00744039771627324,3.46451296545639,0.0163661907827752,0.417334139669159,0.280316141996024,0.0121644735900237,0.497518320697583,0.359826624294046,3.88268888085523,0.0341451132888433,0.781174700768749
"44","B1K-07-05",3.45384015855207,0.00715445498191088,3.14920689609995,0.0245923527559808,0.352825137740948,0.265498326774804,0.0179956510659899,0.524912936213939,0.269031434681026,3.51679535715515,0.0372332727694781,0.792649330820681
"45","B1K-08-01",3.54056178022653,0.00356604603510318,2.81135874785889,0.0210146482171741,0.270693608943787,0.249570627252755,0.0159728903667763,0.55492634764516,0.206113424988406,3.0824969108623,0.0228398866634408,0.808966758825556
