"","Genotype","SLA"
"1","B1K-01-20",200.672151011787
"2","B1K-02-01",262.335996360255
"3","B1K-02-02",240.563819438112
"4","B1K-02-04",297.742862546105
"5","B1K-02-05",214.365369533065
"6","B1K-02-06",229.512032624171
"7","B1K-02-10",203.583771624364
"8","B1K-02-12",228.241668659637
"9","B1K-02-13",225.479807890572
"10","B1K-02-14",224.133544098658
"11","B1K-02-16",222.17050998424
"12","B1K-02-18",233.074192001761
"13","B1K-03-03",255.436830266334
"14","B1K-03-04",218.795747597446
"15","B1K-03-09",257.78730743392
"16","B1K-03-10",251.540503847927
"17","B1K-03-11",235.834083099001
"18","B1K-03-14",218.347613168512
"19","B1K-03-16",188.263122347604
"20","B1K-03-17",240.670753433589
"21","B1K-04-03",199.93856893828
"22","B1K-04-04",221.293583545296
"23","B1K-04-08",220.863461690635
"24","B1K-04-12",203.21472589441
"25","B1K-04-19",175.272705569709
"26","B1K-04-20",181.05003828794
"27","B1K-05-03",204.881229950031
"28","B1K-05-07",204.32405167699
"29","B1K-05-08",206.211763496936
"30","B1K-05-10",174.238607409301
"31","B1K-05-12",176.57391336997
"32","B1K-05-13",173.902331904649
"33","B1K-05-16",228.024686613142
"34","B1K-05-17",211.464330112554
"35","B1K-06-01",198.52852914042
"36","B1K-06-06",208.743351668203
"37","B1K-06-07",193.922382309436
"38","B1K-06-10",221.119294101925
"39","B1K-06-14",235.832498165208
"40","B1K-06-15",193.420246780953
"41","B1K-06-19",209.692296920824
"42","B1K-06-20",180.079919686853
"43","B1K-07-02",206.353908023842
"44","B1K-07-05",203.927221072044
"45","B1K-08-01",220.776468951408
"46","B1K-08-02",226.597200701127
"47","B1K-08-03",216.469865192586
"48","B1K-08-05",221.321234764629
"49","B1K-08-06",218.694053723671
"50","B1K-08-08",218.45572718285
"51","B1K-08-09",195.430522719362
"52","B1K-08-10",228.824201299252
"53","B1K-08-15",226.884938509272
"54","B1K-08-16",223.39111178444
"55","B1K-08-17",212.714459623119
"56","B1K-08-18",249.099730219052
"57","B1K-09-01",249.327262521512
"58","B1K-09-03",256.210250281891
"59","B1K-09-04",244.251017374987
