"","Genotype","Jmax","Vcmax","asat","gs","iWUE","sl"
"1","B1K-02-02",213.618995082895,113.980144765915,27.9613370673684,0.446912813019929,66.4228102831708,0.208245269160707
"2","B1K-03-17",133.678568464506,74.8766232036578,19.2945254709671,0.316858802529275,62.4267576318796,0.202555717781386
"3","B1K-04-03",188.016412252367,96.5780416411774,24.530428903901,0.399365902339132,64.1283874195663,0.217821148227587
"4","B1K-05-03",125.816354298262,75.6955812892131,19.8687004409513,0.329754828071135,57.6404211785076,0.165582302889357
"5","B1K-05-08",154.648678013957,80.8168320160086,17.6101426371927,0.187687060392516,79.6780365542632,0.305581867722665
"6","B1K-05-12",139.65907859043,80.7756564904172,16.3169619168033,0.16183626945965,95.7427150234282,0.293234645023084
"7","B1K-06-19",163.683092210013,91.4045053372864,20.9416310436963,0.340761576556134,65.9221679208438,0.257859000830303
"8","B1K-08-03",208.98509180849,108.313100796318,27.0544292812116,0.462991773988302,61.4014390349778,0.210117923613897
"9","B1K-08-06",121.004187806695,69.3438380652593,18.3292601926052,0.337452261689902,54.5674609409584,0.160399114279333
"10","B1K-08-09",123.765457216073,59.887229784826,16.5508131992433,0.398468415994512,48.2127475960515,0.203425740241233
"11","B1K-10-01",186.449845822997,93.9732800068031,24.9169907164111,0.437981771446211,57.101440907563,0.188231609353406
"12","B1K-11-10",164.235578713477,83.1196789440344,21.9988150478921,0.413738923427341,57.0435122428304,0.216597292460107
"13","B1K-12-10",179.399572668383,86.9678350517676,20.0899759351679,0.212470519536039,81.2353262435922,0.330212038668789
"14","B1K-13-03",126.776500886451,79.4696663867074,18.8405453815888,0.29872282510767,72.6215304249737,0.194475364936219
"15","B1K-13-20",188.275880235971,108.568749926221,27.057676127041,0.480957077492432,59.2862595061859,0.20256605378498
"16","B1K-14-04",139.126750858867,77.4695364004518,20.0104663047137,0.311211989707436,67.7258528002434,0.193615025539576
"17","B1K-15-05",165.069936379358,94.9887110466711,22.7663483849704,0.438099563457599,58.3364925841394,0.21875124349991
"18","B1K-17-17",197.761569920082,104.654778613931,25.5132937471704,0.369714572139319,69.1919890047366,0.246417660083609
"19","B1K-18-16",134.886173188197,75.6964237791367,17.7527933576488,0.256030261873426,80.3857840847657,0.260061764743299
"20","B1K-19-01",179.524570004307,98.9152428763303,27.0799159211142,0.48231016516732,56.4504325701144,0.171914545022134
"21","B1K-19-12",204.712404590289,101.085998640475,27.4925126735657,0.487201209718632,58.4905677488987,0.237982170675019
"22","B1K-19-20",223.387072049462,115.383804502468,29.5791142242731,0.505331156392636,60.8444422529288,0.239320764705932
"23","B1K-20-02",185.045721774525,98.1933381767776,25.0500948567332,0.404342577155218,62.6926140520197,0.243207793186262
"24","B1K-20-13",156.076664795092,92.7282112757904,25.2629414641194,0.502857102185458,52.0038082640279,0.149163868755937
"25","B1K-21-03",144.71983048223,75.2795936159981,19.7325532590721,0.35037224818614,60.6613231264832,0.208801326768039
"26","B1K-21-11",166.057199150122,89.8773862040193,23.7716035219016,0.449743981190598,57.618953954338,0.171007913835166
"27","B1K-23-12",170.517066594351,96.8063411061637,25.3248224880438,0.49692254259133,50.610573572774,0.138421439226754
"28","B1K-24-01",173.029982462114,93.4873490876644,24.1067157580676,0.404355779793925,63.8114930111653,0.217392941468753
"29","B1K-24-18",150.360800641661,92.1400544560605,25.1492406227895,0.52466043949886,49.8112138933508,0.0808254193523667
"30","B1K-25-13",155.235676222625,87.6630079706588,21.3706252231408,0.296587124663195,72.1580141317274,0.228160555024349
"31","B1K-25-20",196.986728605334,102.731185197784,25.9818847181681,0.335166271019447,70.3463617942834,0.24776054752066
"32","B1K-26-03",180.888701902369,94.5370862523874,23.8986380909555,0.395292696681055,61.9118695764174,0.250025621178365
"33","B1K-27-02",163.424888336456,85.6443946181941,23.2423430566372,0.418308149304579,56.7787879939929,0.180087753987222
"34","B1K-27-11",184.544428892092,108.967758365175,28.9102313997178,0.683273566521178,43.1238630469373,0.0503942139831472
"35","B1K-28-13",217.467835130198,123.393647003238,31.2100790109813,0.516442895478686,64.0705861544786,0.155886549630361
"36","B1K-31-19",194.516456102274,106.625757741586,27.1538615698593,0.501389835376606,56.3093405224692,0.166776276272553
"37","B1K-34-20",153.069417573878,73.6771699334959,17.9274735988142,0.26011324763816,73.2122914458001,0.307636365503325
"38","B1K-36-04",200.639111001169,96.389476482339,26.3320115489686,0.497222230874559,53.0542237644715,0.207218927335101
"39","B1K-42-07",173.144616209584,94.1092436765798,25.8507370181744,0.543087861743873,47.7792667278873,0.16160229490431
"40","B1K-44-02",179.817820314139,93.3380267139368,23.7082710916826,0.398335370676897,64.5661147414459,0.242781748121103
"41","B1K-46-07",175.396342943841,105.787734867854,26.4377482229969,0.459866962109643,63.7711694717683,0.161866691331294
"42","B1K-46-15",167.866980859458,91.0111600726413,24.0246432537548,0.424703499833566,57.9647805903018,0.228895011492153
"43","B1K-49-10",149.754652376761,81.1953584734299,20.3167171503015,0.276645192584883,70.8652887965071,0.261939124409098
"44","B1K-50-07",199.708244363414,109.617673122487,29.3874765931869,0.495034432160433,58.8016417470124,0.142663257971998
"45","B1K-51-01",172.225842091801,79.7864878470213,19.5431110077569,0.278580549625639,75.7418540323213,0.319275166339148
"46","B1K-51-10",147.840769699717,82.9304999513295,19.7219189940773,0.267433728875698,72.4952101194664,0.248672136902278
"47","B1K-51-19",189.503513936544,93.4433025808805,24.133682777486,0.383021157879299,67.712358989641,0.259986958806975
