"","Genotype","days_to_heading"
"1","B1K-01-20",33.9903427521688
"2","B1K-02-01",32.9152186452815
"3","B1K-02-02",32.9733861566875
"4","B1K-02-04",33.4019287042251
"5","B1K-02-05",33.0022431429176
"6","B1K-02-06",35.3990583095624
"7","B1K-02-10",33.8966696906606
"8","B1K-02-12",32.972027250196
"9","B1K-02-13",34.5328163711012
"10","B1K-02-14",33.4045765872128
"11","B1K-02-16",32.9381986537539
"12","B1K-02-18",33.5320747571759
"13","B1K-03-03",32.9877782507278
"14","B1K-03-04",33.9020697155778
"15","B1K-03-09",33.066654911463
"16","B1K-03-10",33.5657006191171
"17","B1K-03-11",33.5532351542904
"18","B1K-03-14",33.6553964013042
"19","B1K-03-16",33.0065115642038
"20","B1K-03-17",33.9264169434165
"21","B1K-04-03",33.0550845112964
"22","B1K-04-04",32.9079733858102
"23","B1K-04-08",32.9548940027118
"24","B1K-04-12",32.9547529913591
"25","B1K-04-19",30.8583757117319
"26","B1K-04-20",32.8991993209151
"27","B1K-05-03",27.9177255169165
"28","B1K-05-07",28.9571743548202
"29","B1K-05-08",27.2533942571493
"30","B1K-05-10",27.1793907639954
"31","B1K-05-12",26.9488979174961
"32","B1K-05-13",30.0467700705099
"33","B1K-05-16",30.9564540872523
"34","B1K-05-17",26.9637713439015
"35","B1K-06-01",31.599751064385
"36","B1K-06-06",26.8945271965838
"37","B1K-06-07",32.0986532389348
"38","B1K-06-10",33.0143731657882
"39","B1K-06-14",33.0139121851265
"40","B1K-06-15",33.8802951349405
"41","B1K-06-19",38.1187207076899
"42","B1K-06-20",28.9525195561059
"43","B1K-07-02",32.7758571503413
"44","B1K-07-05",33.1344463243563
"45","B1K-08-01",32.9771710341819
"46","B1K-08-02",30.9509239338183
"47","B1K-08-03",33.1118021686385
"48","B1K-08-05",33.0966860898885
"49","B1K-08-06",34.5379065478177
"50","B1K-08-08",34.051410708875
"51","B1K-08-09",33.9167875961444
"52","B1K-08-10",33.0354115402662
"53","B1K-08-15",28.9281723282672
"54","B1K-08-16",31.083183306368
"55","B1K-08-17",33.0333488668544
"56","B1K-08-18",33.4301347428742
"57","B1K-09-01",33.4930074031464
"58","B1K-09-03",33.6442635457142
"59","B1K-09-04",33.5015182620206
"60","B1K-09-07",34.5415904359962
"61","B1K-09-09",33.2675427095549
"62","B1K-09-10",33.0914941610823
"63","B1K-09-11",33.4287758363826
"64","B1K-09-16",33.0251030489573
"65","B1K-09-18",33.9979509307463
"66","B1K-10-01",33.4817700060801
"67","B1K-10-03",33.47052150155
"68","B1K-10-10",32.9688601794676
"69","B1K-10-12",30.9440748812599
"70","B1K-10-13",33.0566697224396
"71","B1K-10-18",33.0335677714163
"72","B1K-11-04",33.5993677318998
"73","B1K-11-05",32.8500455358003
"74","B1K-11-09",33.0005267099197
"75","B1K-11-10",33.3165554833171
"76","B1K-11-15",33.5245994139414
"77","B1K-11-16",33.4929621081786
"78","B1K-11-18",33.6224793016081
"79","B1K-11-20",33.0214453635104
"80","B1K-12-03",24.0449242995761
"81","B1K-12-05",30.9685760301349
"82","B1K-12-06",30.9912827653901
"83","B1K-12-10",28.949955993493
"84","B1K-13-03",34.0423418363114
"85","B1K-13-06",37.4466277006747
"86","B1K-13-10",33.0163928424782
"87","B1K-13-14",34.4475390110046
"88","B1K-13-15",35.423552288279
"89","B1K-13-20",33.1737545575388
"90","B1K-14-01",34.0809961511758
"91","B1K-14-04",32.9004574555419
"92","B1K-14-06",33.5879757092295
"93","B1K-14-12",37.9501725335031
"94","B1K-14-13",32.9371064510927
"95","B1K-14-17",33.0353232427362
"96","B1K-15-04",33.4951084021168
"97","B1K-15-05",33.476376575413
"98","B1K-15-06",35.057914999255
"99","B1K-15-07",32.8937992959979
"100","B1K-15-12",34.0914402096707
"101","B1K-15-17",34.3663950912508
"102","B1K-15-19",34.0162885592271
"103","B1K-15-20",30.9569956657219
"104","B1K-16-01",30.8650361847592
"105","B1K-16-06",33.484624156927
"106","B1K-16-10",33.0106262420585
"107","B1K-16-15",31.0275109955249
"108","B1K-16-20",34.0135224478155
"109","B1K-17-01",33.6525941604243
"110","B1K-17-03",33.9558853608598
"111","B1K-17-07",34.9626470250411
"112","B1K-17-10",36.5424954551676
"113","B1K-17-13",34.0225619978659
"114","B1K-17-17",35.0349814468361
"115","B1K-17-18",34.5206403590483
"116","B1K-18-02",33.6561478016194
"117","B1K-18-03",33.0054907575087
"118","B1K-18-05",33.0838386798053
"119","B1K-18-09",32.9770300228292
"120","B1K-18-16",33.0060084394841
"121","B1K-18-17",36.0571635989399
"122","B1K-18-18",36.5309581228203
"123","B1K-19-01",35.0201390013684
"124","B1K-19-05",34.9756007080267
"125","B1K-19-08",33.0879304142617
"126","B1K-19-12",35.3733667994693
"127","B1K-19-15",33.0702600525603
"128","B1K-19-20",33.0334267600636
"129","B1K-20-01",33.0281677464991
"130","B1K-20-02",35.0544891409262
"131","B1K-20-07",33.0664520194323
"132","B1K-20-08",34.5246497457809
"133","B1K-20-10",34.511911589121
